127.0.0.1 - - [12/Sep/2023:20:45:36 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Sep/2023:20:45:37 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [12/Sep/2023:20:45:37 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Sep/2023:20:48:25 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [12/Sep/2023:20:50:22 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [12/Sep/2023:20:55:21 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 1938
0:0:0:0:0:0:0:1 - - [12/Sep/2023:20:57:19 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [12/Sep/2023:20:58:01 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2032
0:0:0:0:0:0:0:1 - - [12/Sep/2023:20:58:54 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [12/Sep/2023:20:59:14 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:00:40 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2187
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:01:16 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2181
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:01:52 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2185
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:02:31 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:03:43 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:13:05 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:13:28 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:14:00 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:15:58 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2312
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:16:19 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2289
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:17:12 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 200 2341
0:0:0:0:0:0:0:1 - - [12/Sep/2023:21:17:15 +0530] "GET /Doctor_clinic/firstPage.html HTTP/1.1" 304 -
